elapsed_S,supply_V,current_A,BMF_resistance
6.465876996000588406e+00,4.728110351562500036e+00,9.277978515625000255e-02,5.096056585602037359e+01
6.499495625000236032e+00,4.730959472656249609e+00,9.338232421875000688e-02,5.066225875438568238e+01
6.533395784000276763e+00,4.728442382812500178e+00,9.673388671874999512e-02,4.888093038751003405e+01
6.567395182000836940e+00,4.728588867187499822e+00,9.288720703125000200e-02,5.090678273485672634e+01
6.601232269000320230e+00,4.731723632812499858e+00,9.255566406250000100e-02,5.112300452641463266e+01
6.635209537000264390e+00,4.729106445312499574e+00,9.473095703124999323e-02,4.992144694318304943e+01
6.669292599000073096e+00,4.729433593749999609e+00,9.609521484374999867e-02,4.921611967297246082e+01
6.703252590000374767e+00,4.729592285156249964e+00,9.678222656250000389e-02,4.886839715453307065e+01
6.736952829000074416e+00,4.732626953125000036e+00,9.477978515625000433e-02,4.993287276736266733e+01
6.770705159000499407e+00,4.730058593749999929e+00,9.503466796875000011e-02,4.977192739080619077e+01
6.804642299000079220e+00,4.730815429687499574e+00,9.583740234375000278e-02,4.936293465800534364e+01
6.838581474999955390e+00,4.728215332031250107e+00,9.463378906250000111e-02,4.996328878798823325e+01
6.872526208000635961e+00,4.731494140625000178e+00,9.620068359375000266e-02,4.918358127896294008e+01
6.906389442000545387e+00,4.728984374999999574e+00,9.554589843749999867e-02,4.949437340937662810e+01
6.940319803999955184e+00,4.728996582031250284e+00,9.720898437500000155e-02,4.864773161077736319e+01
6.974224463000609830e+00,4.730229492187500107e+00,9.329833984374999445e-02,5.070003925160277447e+01
7.008051088000684103e+00,4.727868652343749645e+00,9.220312499999999689e-02,5.127666391289611880e+01
7.042154853000283765e+00,4.730439453125000249e+00,9.465624999999999734e-02,4.997492984483328371e+01
7.076199527000426315e+00,4.731560058593750284e+00,9.593603515625000189e-02,4.931994584607867438e+01
7.110048706000270613e+00,4.729797363281250000e+00,9.104394531249999922e-02,5.195070739791266590e+01
7.144141638000292005e+00,4.729174804687500178e+00,9.393701171875000477e-02,5.034410524838472867e+01
7.178406734000418510e+00,4.745153808593750355e+00,9.320361328125000011e-02,5.091169367302141779e+01
7.213542621000669897e+00,4.730385742187499964e+00,9.168896484374999822e-02,5.159165827914729618e+01
7.247673313000632334e+00,4.730590820312500000e+00,9.564599609375000477e-02,4.945937115523041427e+01
7.281557900000734662e+00,4.729477539062499680e+00,9.496728515624999756e-02,4.980112394790558028e+01
7.315572631000577530e+00,4.730117187500000320e+00,9.367626953124999489e-02,5.049429499241591657e+01
7.349463422000553692e+00,4.733635253906250284e+00,9.515771484375000477e-02,4.974515478517879785e+01
7.383808015000795422e+00,4.728859863281249964e+00,9.545751953125000688e-02,4.953889317994649133e+01
7.417739249000078416e+00,4.730832519531250391e+00,9.556396484375000167e-02,4.950435582351889252e+01
7.451784034999946016e+00,4.729265136718749929e+00,9.297460937500000300e-02,5.086620065962229376e+01
7.485695603000749543e+00,4.729348144531249964e+00,9.275146484375000611e-02,5.098947119054512456e+01
7.519679224000356044e+00,4.731342773437500426e+00,9.362158203124999745e-02,5.053688124879392518e+01
7.553888006000306632e+00,4.728078613281249787e+00,9.621972656249999645e-02,4.913835013041845201e+01
7.587778074000198103e+00,4.728991699218750178e+00,9.779687500000000533e-02,4.835524344943281250e+01
7.621696901000177604e+00,4.731401367187499929e+00,9.352001953124999822e-02,5.059239070845668351e+01
7.655823426000097243e+00,4.728032226562500107e+00,9.574902343749999711e-02,4.937943027323630929e+01
7.689774510999995982e+00,4.730488281250000426e+00,9.620898437500000067e-02,4.916888284374429219e+01
7.723739892000594409e+00,4.729633789062500426e+00,9.420556640624999645e-02,5.020545992650298928e+01
7.757628108000062639e+00,4.729580078125000142e+00,9.472216796875000677e-02,4.993107927687366754e+01
7.791596156000196061e+00,4.729272460937499645e+00,9.527734374999999312e-02,4.963690500594481847e+01
7.825535814999966533e+00,4.729541015625000178e+00,9.267333984374999389e-02,5.103453726388999456e+01
7.859408921000067494e+00,4.729399414062499751e+00,9.548095703124999389e-02,4.953238385026464385e+01
7.893396690000372473e+00,4.728767089843749716e+00,9.336669921875000167e-02,5.064725570692675660e+01
7.927322017000733467e+00,4.729443359374999822e+00,9.708349609374999911e-02,4.871521473441735850e+01
7.961285712000062631e+00,4.727971191406250107e+00,9.559716796874999367e-02,4.945723070951002143e+01
